	EntrezId	Symbol.x	EnsemblId	Chr	Start	End	GC	Type	Symbol.y	
71	10061	ABCF2	ENSG00000033050	7	151212490	151227230	48.51	protein_coding	ABCF2	OK
72	10061	ABCF2	ENSG00000285292	7	151207837	151227166	49.13	protein_coding	ABCF2	OK
512	226	ALDOA	ENSG00000149925	16	30064164	30070457	59.26	protein_coding	ALDOA	OK
513	226	ALDOA	ENSG00000285043	16	30053090	30070420	54.42	protein_coding		OK
909	23370	ARHGEF18	ENSG00000104880	19	7395113	7472477	51.44	protein_coding	ARHGEF18	OK
910	23370	ARHGEF18	ENSG00000268861	19	7382834	7472477	51.37	protein_coding		NO
943	51326	ARL17A	ENSG00000228696	17	46274784	46361797	43.65	protein_coding	ARL17B	NO
944	51326	ARL17A	ENSG00000185829	17	46516702	46579682	43.34	protein_coding	ARL17A	OK
1236	6314	ATXN7	ENSG00000285258	3	63864557	64003462	40.77	protein_coding	ATXN7	OK
1237	6314	ATXN7	ENSG00000163635	3	63898399	64003453	41.23	protein_coding	ATXN7	OK
2056	55924	C1orf183	ENSG00000197852	1	111680630	111739424	42.66	protein_coding	FAM212B	OK
2057	55924	C1orf183	ENSG00000284755	1	111722064	111755824	50.44	protein_coding	FAM212B	OK
2810	388389	CCDC103	ENSG00000214447	17	44899712	44905390	51.7	protein_coding	FAM187A	NO
2811	388389	CCDC103	ENSG00000167131	17	44899142	44905390	52.63	protein_coding	CCDC103	OK
3956	1394	CRHR1	ENSG00000120088	17	45784280	45835828	54.73	protein_coding	CRHR1	OK
3957	1394	CRHR1	ENSG00000263715	17	45620344	45835826	49.67	protein_coding	LINC02210-CRHR1	NO
4502	414325	DEFB103B	ENSG00000177243	8	7428888	7430348	44.76	protein_coding	DEFB103B	NO
4503	414325	DEFB103B	ENSG00000176797	8	7881204	7882664	44.76	protein_coding	DEFB103A	OK
4628	56616	DIABLO	ENSG00000184047	12	122207663	122226568	46.37	protein_coding	DIABLO	OK
4629	56616	DIABLO	ENSG00000284934	12	122207662	122227534	47.05	protein_coding	DIABLO	OK
7497	3233	HOXD4	ENSG00000278500	2	176151085	176173097	51.67	protein_coding		NO
7498	3233	HOXD4	ENSG00000170166	2	176151222	176153226	59.55	protein_coding	HOXD4	OK
7586	51182	HSPA14	ENSG00000187522	10	14838164	14871741	39.55	protein_coding	HSPA14	OK
7587	51182	HSPA14	ENSG00000284024	10	14838160	14847018	44.63	protein_coding		OK
7757	3481	IGF2	ENSG00000167244	11	2129112	2149603	60.44	protein_coding	IGF2	OK
7758	3481	IGF2	ENSG00000284779	11	2129112	2158658	60.39	protein_coding		NO
8026	8471	IRS4	ENSG00000133124	X	108732482	108736409	55.98	protein_coding	IRS4	OK
8027	8471	IRS4	ENSG00000260548	X	108722070	108732687	36.11	protein_coding		NO
9281	220074	LRTOMT	ENSG00000284844	11	72105924	72109329	53.11	protein_coding		NO
9282	220074	LRTOMT	ENSG00000184154	11	72080331	72110782	48.88	protein_coding	LRTOMT	OK
9578	9782	MATR3	ENSG00000015479	5	139293648	139331677	38.8	protein_coding	MATR3	OK
9579	9782	MATR3	ENSG00000280987	5	139273752	139331671	40.63	protein_coding		OK
10506	8509	NDST2	ENSG00000166507	10	73801911	73811798	53.04	protein_coding	NDST2	OK
10507	8509	NDST2	ENSG00000272916	10	73796514	73811651	53.82	protein_coding		NO
11773	64881	PCDH20	ENSG00000197991	13	61409858	61427849	38.48	protein_coding		NO
11774	64881	PCDH20	ENSG00000280165	13	61409685	61415522	44.3	protein_coding	PCDH20	OK
11892	50940	PDE11A	ENSG00000284741	2	177628069	178108339	39.13	protein_coding		OK
11893	50940	PDE11A	ENSG00000128655	2	177623252	178072755	39.16	protein_coding	PDE11A	OK
11903	5143	PDE4C	ENSG00000105650	19	18208652	18248200	54.3	protein_coding	PDE4C	OK
11904	5143	PDE4C	ENSG00000285188	19	18207961	18255419	54.12	protein_coding		NO
11917	8622	PDE8B	ENSG00000113231	5	77210449	77429807	41.52	protein_coding	PDE8B	OK
